,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
772,Department of Veterans' Affairs,Quincy Veterans' Home - Adams County,1707 North 12th Street,Quincy,62301,Adams,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Progress,2010,2010,5200,1,1,0,Storage,Storage,Not provided
792,Chicago State University,Chicago State University - Cook County,95th & King Dirve,Chicago,60628,Cook,1,Bobby L. Rush,34,"Sims, Jr. Elgie R.",17,Donne E. Trotter,In Progress,2010,2010,30000,2,2,0,Education,Education,Not provided
796,Department of Natural Resources,Nauvoo State Park - Hancock County,Kimball Street,Nauvoo,62354,Hancock,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Progress,2011,2011,144,1,1,0,Unusual,Unusual,Not provided
797,Department of Natural Resources,Nauvoo State Park - Hancock County,Kimball Street,Nauvoo,62354,Hancock,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Progress,2011,2011,144,1,1,0,Unusual,Unusual,Not provided
798,Department of Natural Resources,Nauvoo State Park - Hancock County,Kimball Street,Nauvoo,62354,Hancock,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Progress,2011,2011,144,1,1,0,Unusual,Unusual,Not provided
1098,Chicago State University,Chicago State University - Cook County,95th & King Dirve,Chicago,60628,Cook,1,Bobby L. Rush,34,"Sims, Jr. Elgie R.",17,Donne E. Trotter,In Progress,2010,2010,37000,3,2,1,Business,Business,Not provided
6902,Department of Military Affairs,Armed Forces Reserve Center - Mt. Vernon,600 Shiloh Drive,Mt Vernon,62864,Jefferson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2010,2010,71543,2,2,0,Business,Assembly,Not provided
6903,Department of Military Affairs,Armed Forces Reserve Center - Mt. Vernon,600 Shiloh Drive,Mt Vernon,62864,Jefferson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Progress,2010,2010,10944,1,1,0,Industrial,Storage,Not provided
7092,Department of Public Health,Oakland Street Laboratory - Carbondale,1155 South Oakland Avenue,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2010,2010,2160,1,1,0,Industrial,Industrial,Not provided
8315,Department of State Police,Belleville State Police Forensic Laboratory,2220 West Main Street,Belleville,62226,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Progress,2011,2011,64000,3,2,1,Business,Unusual,Not provided
8316,Southern Illinois University,Southern Illinois University - Carbondale,Flight Line Road,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Progress,2010,2010,148183,2,2,0,Storage,Business,Not provided
8317,Southern Illinois University,Southern Illinois University - Carbondale,Flight Line Road,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Progress,2010,2010,10030,1,1,0,Storage,Storage,Not provided
8318,Southern Illinois University,Southern Illinois University - Carbondale,Flight Line Road,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Progress,2010,2010,10919,1,1,0,Storage,Storage,Not provided
8329,Department of Military Affairs,Sparta Armory - Randolph County,1851 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2010,2010,5000,1,1,0,Business,Storage,Not provided
8331,University of Illinois,University of Illinois Urbana-Champaign,1302 West Pennsylvania,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Progress,2010,2010,35000,4,3,1,Business,Industrial,Not provided
8382,Department of Natural Resources,Pere Marquette State Park - Jersey County,P.o. Box 158,Grafton,62037,Jersey,13,Rodney L. Davis,100,Davidsmeyer C. D.,50,Wm. Sam McCann,In Progress,2010,2010,144,1,1,0,Unusual,Unusual,Not provided
8426,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,4800,1,1,0,Education,Storage,Not provided
8435,Department of Natural Resources,Red Hills State Park - Lawrence County,R.r. 2 Box 252a,Sumner,62466,Lawrence,15,John Shimkus,109,Reis David B.,55,Dale A. Righter,In Progress,2010,2010,144,1,1,0,Unusual,Unusual,Not provided
8436,Department of Transportation,Bolingbrook Maintenance Storage Facility - Will County,Rr 5 Bolingbrook,Bolingbrook,60439,Will,11,Bill Foster,85,Connor John,43,Pat McGuire,In Progress,2010,2010,3200,1,1,0,Storage,Storage,Not provided
8442,Department of Transportation,Bridge and Landscape Maintenance Facility,East 12th Road & I80,Ottawa,61350,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Progress,2011,2011,4608,1,1,0,Storage,Storage,Not provided
8447,Department of Transportation,Kampsville Ferry,Corner Of Joliet & Marquette,Kampsville,62053,Calhoun,13,Rodney L. Davis,100,Davidsmeyer C. D.,50,Wm. Sam McCann,In Progress,2011,2011,2258,2,2,0,Business,Storage,Not provided
8453,Department of Military Affairs,Camp Lincoln (Springfield) - Sangamon County,1301 North MacArthur Boulevard,Springfield,62702,Sangamon,13,Rodney L. Davis,87,Butler Tim,44,William E. Brady,In Use,0,2011,1925,1,1,0,Business,Business,Not provided
8454,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,48,1,1,0,Unusual,Unusual,Not provided
8455,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,24,1,1,0,Unusual,Unusual,Not provided
8456,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,24,1,1,0,Unusual,Unusual,Not provided
8457,Department of Military Affairs,Sparta Armory - Randolph County,1803 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2011,2011,144,1,1,0,Unusual,Unusual,Not provided
8458,Department of Military Affairs,Sparta Armory - Randolph County,1803 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2011,2011,120,1,1,0,Unusual,Unusual,Not provided
8459,University of Illinois,University of Illinois Urbana-Champaign,306 North Wright Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Progress,2013,2013,230665,7,6,1,Education,Business,Not provided
8460,Southern Illinois University,Southern Illinois University - Edwardsville,Siue,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Progress,2012,2012,136000,4,4,0,Education,Business,Not provided
8462,Department of Transportation,Oregon Maintenance Storage Facility - Ogle Co.,511 Hill Street,Oregon,61061,Ogle,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2011,2011,4000,1,1,0,Storage,Storage,Not provided
8464,Department of Military Affairs,Sparta Armory - Randolph County,1851 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2011,2011,6592,1,1,0,Industrial,Storage,Not provided
8478,Southern Illinois University,Southern Illinois University - Edwardsville,5200 New Poag Road,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2010,2010,1782,1,1,0,Unusual,Unusual,Not provided
8484,Southern Illinois University,Southern Illinois University - Edwardsville,49 Prairie Drive,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2010,2010,300,2,2,0,Education,Education,Not provided
